,RIDDLES,ANSWERS
0,"With thieves I consort, With the Vilest, in short, I'm quite at ease in depravity, Yet all divines use me, And savants can't lose me, For I am the century of gravity.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeM/17mK94baHUNbknR9VhJh7vti.w2yK'
1,"I move without wings, Between silken string, I leave as you find, My substance behind.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeYzT.XUxyecq7LnGzYTqSnrbMVGH1wMa'
2,"What flies forever, Rests never?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUrOQWFbS0/wTPnc2xK6ryBSzFEyfvOS'
3,"I appear in the morning. But am always there. You can never see me. Though I am everywhere. By night I am gone, though I sometimes never was. Nothing can defeat me. But I am easily gone.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeCuhYGrXD9HfMZl66IJr0yqFmORrc63G'
4,I crawl on the earth. And rise on a pillar.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHBXcKZt/0eFXiEde6aFUJVtWIMQQYle'
5,"They are many and one, they wave and they drum, Used to cover a state, they go with you everywhere.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKexZlhn6L5RZo.ZE5F2.lhh.ZuLjJFLG6'
6,What must be in the oven yet can not be baked? Grows in the heat yet shuns the light of day? What sinks in water but rises with air? Looks like skin but is fine as hair?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeIK.YAXE6f1sSQvOmYq/BiHxWlO6exg.'
7,"I have holes on the top and bottom. I have holes on my left and on my right. And I have holes in the middle, Yet I still hold water.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeeNu2iTUy2pFL1oasu/k33EmZ30SgPKm'
8,"What can be swallowed, But can also swallow you?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeXkb9VAnHKP292GAwk9ylSn.BsSdG0xm'
9,"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe2gOLfcnG0MhElIu3Ma0DN0u4GMMJpa6'
10,"I run around the city, but I never move.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe6ZW0n4dVolFVh1zSt8ngBRi5QYP44Jm'
11,"As a whole, I am both safe and secure. Behead me, I become a place of meeting. Behead me again, I am the partner of ready. Restore me, I become the domain of beasts.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe4jHOQSgxE0Hw0dx7/Y9sH90WR.fir.e'
12,"Two horses, swiftest traveling, harnessed in a pair, and grazing ever in places. Distant from them.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKekfwEZgAETdOTf8wAcSEPodVGRsZGnty'
13,"At the sound of me, men may dream. Or stamp their feet. At the sound of me, women may laugh. Or sometimes weep.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKer9C9MmHDx/.8G2DVkocZ9Fh1Rzexvmi'
14,"To unravel me you need a simple key, no key that was made by locksmith's hand. But a key that only I will understand.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe83HlvsAjsf.iT9pZLmXJQG6zdlG.aL.'
15,"Long and think, red within, with a nail at the end.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezA7hCZH9nmdgh6NbZ70Awg.X4GPSFpe'
16,I'm sometimes white and always wrong. I can break a heart and hurt the strong. I can build love or tear it down. I can make a smile or bring a frown.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKej8IcZXw8IZGQVZUly2AYBZvTf4Qjw6i'
17,"You can tumble in it, roll in it, burn it, animal eat it. Used to cover floors, still used beyond stall doors. Freshens whatever it is placed on. Absorbs whatever is poured into it.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeStYV3q.usnwGP4C6P3n2/7OBdwJQN6a'
18,"I come in winter. I cannot see, hear, or feel. I can't eat, But you can eat parts of me.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeDDZn9.k2AC8DkEg/.WbHKzqfMqL9UxS'
19,"Sometimes I am loud. And viewed with distaste. Poke out my 'eye', then I'm on the front of your face.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKesfTzI4QqRA3uVQyflVbDpYzqzSscnsa'
20,"What is it that has four legs, one head, and a foot?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeLQyqKaeKC1S97gqn9KDJS57RqWoKwEa'
21,What makes a loud noise when changing its jacket. Becomes larger but weighs less?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeV5bAjF7AiaLnBY67BA3o3S8sxW7ZpEW'
22,"I am always hungry, I must always be fed. The finger I lick will soon turn red.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe95U6.yzSOkuNEL/I1v1x.x573ZrgCAi'
23,"Something wholly unreal, yet seems real to I. Think my friend, tell me where does it lie?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe2BQlgEy.joQRXju3WdC6pTA9nv6hhI6'
24,"No matter how little or how much you use me, you change me every month.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqEBBSs1yDW8GLfidXOnQkVl9RsnzCoa'
25,"What can burn the eyes, sting the mouth, yet be consumed?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe2m2dI6eeW3OTOk9m5AyRIUvkgA1fml6'
26,What an fill a room but takes up no space?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKefWsHcDSkocILyZL/NshNnwra33oITve'
